,title,intro,gender,occupations
Q1082874,Chris Zintzen-Bader,"<p><b>Chris Zintzen-Bader</b> (* 12. Dezember 1966 in Moosburg an der Isar als Christiane Zintzen) ist ein deutscher Literaturwissenschaftler, Autor, Journalist und Herausgeber.
</p>",trans man,"['journalist', 'writer', 'literary scholar', 'editor', 'man of letters']"
Q15455797,Chris Stenner,"<p><b>Christian „Chris“ Stenner</b> (* 17. Juni 1971 in Mainz) ist ein deutscher Animator und Grafikdesigner.
</p>",male,"['animator', 'film director']"
Q15807938,Willy De Bruyn,"<p><b>Willem „Willy“ Maurits De Bruyn</b>, geboren als <i>Elvira (Elvire) Debruyn</i>, (* 4. August 1914 in Erembodegem; † 13. August 1989 in Antwerpen) war ein belgischer Radrennfahrer.
</p>",trans man,['sport cyclist']
Q15808149,Enotris Johnson,"<p>Auf <b>Enotris Johnson</b> sind bei der Library of Congress und der Broadcast Music Incorporated Co-Autorenschaften für die drei Rock-’n’-Roll-Songs <i>Long Tall Sally</i>, <i>Miss Ann</i> und <i>Jenny, Jenny</i> registriert. Zur genauen Identität von Enotris Johnson gibt es in der Literatur und im Internet unterschiedliche Angaben.
</p>",male,['songwriter']
Q1662713,Ben Vollbrecht,"<p><b>Ben Vollbrecht</b> (* 24. August 1987 in Berlin als <i>Inga Vollbrecht</i>) ist ein deutscher Volleyballspieler. Vor einer Geschlechtsangleichung spielte er in der Frauen-Bundesliga.
</p>",female,['volleyball player']
Q18630424,Sabian Baumann,"<p><b>Sabian Baumann</b> (* 19. Juni 1962 in Zug, aufgewachsen in Wettingen im Kanton Aargau) ist ein Schweizer Künstler. Er lebt und arbeitet in Zürich.
</p>",trans man,"['artist', 'video artist']"
Q56487523,Charuwan Sroisena,"<p><b>Charuwan Sroisena</b> (<span>thailändisch</span> <span lang=""th-Thai"">จารุวรรณ สร้อยเสนา</span>; * 30. Januar 1995 in Kalasin) ist eine thailändische Diskuswerferin.
</p>",female,['athletics competitor']
Q57661142,Hanna Fuchs (Schriftstellerin),"<p><b>Hanna „Hansi“ Fuchs</b> (geboren als Hanna Foks 11. März 1907 in Mährisch-Ostrau, Österreich-Ungarn; gestorben 27. Mai 1991 in Melbourne) war eine tschechoslowakisch-australische Schriftstellerin.   
</p>",female,['writer']
